word,english,japanese,example,present,teForm,negative,past,pastNegative,potential,imperative,volitional,group,desirative,conditional,passive,causative,causativePassive,honorific,humble,mark
kajiritsuku,to bite into; to stick to,齧り付く,,,,,,,,,,,,,,,,,,false
hana,nose,鼻,,,,,,,,,,,,,,,,,,false
nezumi iro,gray; grey,鼠色,,,,,,,,,,,,,,,,,,false
damaru,to be quiet; to be silent; to stop talking,黙る,,damarimasu,damatte; damaranakute,damaranai; damarimasen,damatta; damarimashita,,,,,,,,,,,,,false
kokuban,black board,黒板,,,,,,,,,,,,,,,,,,false
kuroji,surplus,黒字,赤字（あかじ）／黒字　deficit/surplus,,,,,,,,,,,,,,,,,false
kokujin,black person; African American,黒人,,,,,,,,,,,,,,,,,,false
kuroi,black,黒い,,kuroi desu,kurokute,kurokunai,kurokatta,,,,,,,,,,,,,false
ougon,gold,黄金,,,,,,,,,,,,,,,,,,false
kiiro,yellow,黄色,,,,,,,,,,,,,,,,,,false
kimi,egg yolk,黄み,,,,,,,,,,,,,,,,,,false
men; nuudoru; menrui,noodles,麺類（めんるい）,,,,,,,,,,,,,,,,,,false
fumoto,foot (of a mountain or hill); bottom; base,麓,,,,,,,,,,,,,,,,,,false
naru,to sound; to ring; to resound; to echo; to roar; to rumble,鳴る,kaminari ga narihajimeta. (The thunder began to roar.),narimasu,,,,,,,,,,,,,,,,false
nakigoe,cry of animal; animal sound,鳴き声,,,,,,,,,,,,,,,,,,false
hato,pigeon; dove,鳩,,,,,,,,,,,,,,,,,,false
sengyo,fresh fish,鮮魚,,,,,,,,,,,,,,,,,,false
uoichiba,fish market,魚市場,,,,,,,,,,,,,,,,,,false
sakana,fish,魚,,,,,,,,,,,,,,,,,,false
mahou,magic; witchcraft,魔法,,,,,,,,,,,,,,,,,,false
miryokuteki,fascinating,魅力的,,,,,,,,,,,,,,,,,,false
miryoku,appeal; charm; attraction,魅力,魅力的な (appealing; charming),,,,,,,,,,,,,,,,,false
takanaru,to throb; to beat fast,高鳴る,,takanarimasu,,,takanarimashita,,,,,,,,,,,,,false
takameru,to raise; to lift; to boost; to enhance,高める,,,,,,,,,,,,,,,,,,false
takai,high; tall; expensive,高い,"takakattara kaimasen. (If it is expensive, I will not buy it.)野菜が高いです。yasai ga takai desu. The vegetables are expensive. 最高 sai kou - the highest; the best; supremetakaku (expensive)",takai desu,takakute; takakunakute,takakunai; takaku arimasen,takakatta; takai deshita,,,,,,,takakereba; takaku nakereba; takai nara,,,,,,false
kottouhinten,antique shop,骨董品店,,,,,,,,,,,,,,,,,,false
honegumi,framework; skeleton,骨組み,,,,,,,,,,,,,,,,,,false
kossetsu suru,to fracture (a bone),骨折する,,,,,,,,,,,,,,,,,,false
odoroku,to be surprised; to be amazed; to be astonished,驚く,驚き (surprise (n)),,odoroite,odorokanai,odoroita; odorokimashita,,,,,,,,,,,,,false
damasu,to trick; to cheat; to deceive,騙す,彼は彼女をだまして車を買わせた。(He tricked her into buying a car.),damashimasu,damashite,damasenai,,,damaseru,,,,,,damasareru,,,,,false
zawameku,to be noisy; to be astir; to rustle; to murmur,騒めく,,,,,,,,,,,,,,,,,,false
sawagu,to make noise; to be rowdy,騒ぐ,,sawagimasu,sawaide,,sawaida,,,sawagu na,,,,,,,,,,false
chuushajou,parking lot; parking garage; car park,駐車場,,,,,,,,,,,,,,,,,,false
kuchiku,extermination; expulsion; destruction,駆逐,,,,,,,,,,,,,,,,,,false
kakenoboru,"to run up (a hill, stairs, etc.)",駆け登る,,,kakenobotte,,,,,,,,,,,,,,,false
kakeyoru,to rush over; to run up to,駆け寄る,,kakeyorimasu,,,kakeyorimashita,,,,,,,,,,,,,false
kakemawaru,to run around; to bustle about,駆け回れう,,,kakemawatte,,kakemawatta,,,,,,,,,,,,,false
kakeagaru,to run up,駆け上がる,,,,,,,,,,,,,,,,,,false
ekiinshitsu,the station office,駅員室,,,,,,,,,,,,,,,,,,false
dame [na],not okay; no good; not good; ; won't do; cannot; must not; useless; bad; not allowed; broken,駄目,furo wa dame desu. (A bath is not good.); Dame (da yo)! (Stop that!; Don't do that!; Stop doing that!); 危ない所へ行ってはだめです。(You are not allowed to go to a dangerous place.),dame desu,dame de,,,,,,,,,,,,,,,false
kouro,incense burners,香炉,,,,,,,,,,,,,,,,,,false
honkon,Hong Kong,香港,,,,,,,,,,,,,,,,,,false
kousui,perfume,香水,,,,,,,,,,,,,,,,,,false
shushou,prime minister,首相,,,,,,,,,,,,,,,,,,false
gyouza,Japanese crescent-shaped pan-fried dumplings stuffed with minced pork and vegetables,餃子,,,,,,,,,,,,,,,,,,false
akiru,to get tired of; to have enough; to lose interest in; to be satiated with,飽きる,akiru hodo (until I get tired/bored of ~); benkyou akita (got tired of studying); Kono hon wa nando yondemo akinai. (I never get tired of reading this book.),akimasu,akite,,akita,,,,,,,,,,,,,false
kau,to own (a pet); to keep an animal,飼う,犬を飼う; 一匹も飼っていません。(I don't have any pets.),,,,,,,,,,,,,,,,,false
inryou,beverage; drink,飲料,,,,,,,,,,,,,,,,,,false
nomu,to drink; to hold one's breath,飲む (trans.),飲み過ぎじゃない？(Haven't you drunk too much?),nomimasu,nonde; nomanakute,nomanai; nomimasen,nonda; nomimashita,nomanakatta; nomimasen deshita,nomeru,nome; nominasai; nomu na,nomou; nomimashou,u-dropping verbs,nomitai; nomitakunai,nomeba; nondara; nomimashitara; nomanakereba; nomanakattara; nomimasen deshitara,nomareru,nomaseru,nomaserareru; nomasareru,meshiagarau; onomi ni naru; nomareru,,false
shokuhi,food cost,食費,,,,,,,,,,,,,,,,,,false
shokuyoku,appetite (for food),食欲,食欲がありません。 (I have no appetite.),,,,,,,,,,,,,,,,,false
shokuryou,food,食料,,,,,,,,,,,,,,,,,,false
shokudou,dining room; cafeteria,食堂,,,,,,,,,,,,,,,,,,false
shokkiaraiki,dishwasher,食器洗い機,,,,,,,,,,,,,,,,,,false
shokkidana,cupboard,食器棚,,,,,,,,,,,,,,,,,,false
shokki,"tableware; cups, plates, etc.",食器,,,,,,,,,,,,,,,,,,false
shokuji suru,to eat a meal,食事する,,,,,,,,,,,,,,,,,,false
shokuji,lunch,食事,,,,,,,,,,,,,,,,,,false
taberu,to eat; to live on,食べる,,tabemasu,tabete; tabenakute,tabenai; tabemasen,tabeta; tabemashita,tabenakatta; tabemasen deshita,taberareru; tabereru,tabero; tabenasai; taberu na,tabeyou; tabemashou,ru-dropping,tabetai; tabetaku nai; tabetaku arimasen; tabetagaru (3rd person),tabereba; tabetara; tabemashitara; tabenakattara; tabenakareba; tabemasen deshitara,taberareru,tabesaseru,tabesaserareru,meshiagaru; otabe ni naru; taberareru,,false
kuu,to eat; to live; to make a living; to survive; to bite; to sting,食う,,kuimasu,,,,,,,,,,,,,,,,false
kuitsuku suru,to consume; to devour,食い尽くする,,,,,,,kuitsukareru,,,,,,,,,,,false
hikouki,airplane,飛行機,飛行機の切符 (airplane ticket),,,,,,,,,,,,,,,,,false
tobu,to jump; to fly; to leap; to soar,飛ぶ,,tobimasu,tonde,tobanai,tonda,,toberu,,,,,,,,,,,false
tobikomu,to jump; to jump in; to leap in; to plunge into; to dive,飛び込む,,,tobikonde,,,,,,,,,,,,,,,false
tobidasu,to spring out; to jump out; to rush out; to fly out; to appear suddenly; to protrude; to butt in,飛び出す,,,,,,,,,,,,,,,,,,false
tobitsuku,to jump at; to be attracted by,飛び付く,,tobitsukimasu,tobitsuite,,tobitsuita,,,,,,,,,,,,,false
tobasu,to fly; to fire; to hurl; to launch; to make fly,飛ばす (trans.),,,,,,,,,,,,,,,,,,false
